P_NAME,P_MASS,P_RADIUS,P_PERIOD,P_GRAVITY,P_DENSITY,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,P_TYPE_TEMP,S_NAME,S_TYPE_TEMP,S_RA,S_DEC,S_MAG,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_SNOW_LINE,S_ABIO_ZONE,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI
Kepler-1825 b,2.61,1.422,1.02587,1.2907476,0.90769871,0.0187,840.07254,1371.4466,1548.8334,Terran,Hot,Kepler-1825,K,292.51406,42.651755,14.605,5123,0.83,0.85,0.14,0.29376497,0.42197283,1.0153737,0.53448958,0.96266567,1.4634024,0.61877921,0,0,0,0.28389665
Kepler-1798 b,5.94,2.309,16.8559,1.114137,0.48251925,0.1082,9.4307336,446.41222,504.15246,Superterran,Hot,Kepler-1798,K,291.72623,37.528968,16.391,3967,0.59,0.59,0.06,0.11040786,0.26969673,0.68374661,0.34161264,0.64824718,0.89714732,0.07579048,0,0,0,0.3636934
Kepler-1951 b,6,2.321,20.657801,1.113784,0.47987246,0.1435,153.92041,897.27126,1013.3269,Superterran,Hot,Kepler-1951,G,290.49991,40.287716,14.367,5468,0.92,1.31,0.14,3.1695675,1.3605767,3.2346913,1.7233533,3.0667807,4.8068854,1.1583763,0,0,0,0.24748113
Kepler-172 c,8.55,2.86,6.388996,1.0452834,0.3654837,0.068,200.90104,959.05884,,Neptunian,Hot,Kepler-172,G,283.36841,41.821839,14.703,5526,1,1.08,0.23,0.92896639,0.734148,1.7422117,0.92989572,1.6517747,2.6023384,1.3158162,0,0,0,0.22138567
TOI-2583 A b,79.4571,14.46,4.5207265,0.38001096,0.026280149,0.0571,749.42432,1332.8512,,Jovian,Hot,TOI-2583 A,G,272.26703,45.3369,12.586,5936,1.22,1.48,0.158,2.4434306,1.1619152,2.7265525,1.4717032,2.5850198,4.2204986,2.843742,0,0,0,0.06386964
Kepler-704 b,7.32,2.61,3.7618211,1.0745585,0.41170824,0.047,491.81785,1199.6396,,Neptunian,Hot,Kepler-704,G,283.31637,41.837094,15.454,5616,0.97,0.96,0.09,1.0864256,0.7897914,1.8691766,1.0003731,1.7721492,2.8142571,1.5203249,0,0,0,0.228378
Kepler-706 b,114.26485,13.17,41.408313,0.65878108,0.050021343,0.2162,12.950562,483.25,,Jovian,Hot,Kepler-706,G,291.76028,41.944079,15.274,5394,0.87,0.84,-0.06,0.60534087,0.59707429,1.4229385,0.75627622,1.3490745,2.1006987,1.0012612,0,0,0,0.14225263
Kepler-707 b,2.33,1.33,2.2374927,1.3172028,0.99037803,0.0325,298.69866,1059.0294,1196.0073,Terran,Hot,Kepler-707,K,290.00756,42.11647,15.022,5099,0.8,0.76,-0.12,0.31550046,0.43783253,1.0544972,0.55457845,0.99975826,1.5165746,0.58654254,0,0,0,0.29050826
Kepler-724 b,10.8,3.29,3.3149463,0.99777349,0.30327462,0.0433,319.17158,1076.7274,,Neptunian,Hot,Kepler-724,G,293.45484,44.792782,15.284,5437,0.9,0.86,-0.02,0.5984116,0.59222095,1.4093783,0.75012801,1.3362183,2.0886408,1.0902805,0,0,0,0.20235107
Kepler-1678 b,10.9,3.304,147.974,0.99849621,0.3022083,0.5302,2.4497432,318.69837,,Neptunian,Hot,Kepler-1678,G,292.59163,38.399563,15.02,5754,1.03,0.83,0,0.6886523,0.62367233,1.4702973,0.78995884,1.3939755,2.2405971,1.9660257,0,0,0,0.51876696
Kepler-567 b,5.69,2.25,16.542974,1.1239506,0.49953361,0.1229,25.816433,574.21399,648.48447,Superterran,Hot,Kepler-567,K,297.67261,48.302346,14.827,5148,0.84,0.79,0,0.38994199,0.48554947,1.1672575,0.61501826,1.1066653,1.686024,0.64851854,0,0,0,0.29136433
